WARN ( ./pmacct.conf.vaultaire ): Unknown key: print_output. Line 4 ignored.
OK ( default/core ): link type is: 1
WARN ( default/core ): eth1: no IPv4 address assigned
ID     CLASS             SRC_MAC            DST_MAC            VLAN   SRC_AS  DST_AS  SRC_IP           DST_IP           SRC_PORT  DST_PORT  TCP_FLAGS  PROTOCOL    TOS    PACKETS               FLOWS                 BYTES
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       203.206.78.172   202.4.239.135    0         0         0          ip          0      409                   0                     117603
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.236.185    116.199.222.37   0         0         0          ip          0      4577                  0                     186835
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.239.153    203.26.235.14    0         0         0          ip          0      283                   0                     292635
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       58.111.186.241   110.173.155.136  0         0         0          ip          0      566                   0                     107656
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       59.115.110.177   202.4.232.63     0         0         0          ip          0      1                     0                     129
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       37.49.229.203    202.4.228.73     0         0         0          ip          0      385                   0                     31554
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       121.204.75.20    202.4.238.66     0         0         0          ip          0      6                     0                     240
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       203.6.77.2       202.4.227.10     0         0         0          ip          0      587                   0                     113083
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.235.2      64.235.145.38    0         0         0          ip          0      3                     0                     515
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       180.232.105.194  110.173.158.210  0         0         0          ip          0      187                   0                     70766
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.155.136  58.111.186.241   0         0         0          ip          0      948                   0                     1230265
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.228.73     37.49.229.203    0         0         0          ip          0      428                   0                     437678
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.157.181  124.178.40.217   0         0         0          ip          0      1151                  0                     1513607
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       108.174.98.121   202.4.232.63     0         0         0          ip          0      3270                  0                     142593
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.232.63     59.115.110.177   0         0         0          ip          0      1                     0                     727
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.227.10     203.6.77.2       0         0         0          ip          0      766                   0                     671500
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       120.150.168.128  202.4.230.138    0         0         0          ip          0      1235                  0                     205858
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.235.2      201.193.82.105   0         0         0          ip          0      1                     0                     85
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       36.74.51.74      202.4.232.63     0         0         0          ip          0      283                   0                     13738
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.232.63     108.174.98.121   0         0         0          ip          0      7200                  0                     10752625
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       164.97.245.84    110.173.157.66   0         0         0          ip          0      10                    0                     520
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       108.162.219.36   202.4.236.53     0         0         0          ip          0      12                    0                     871
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.239.136    49.182.157.182   0         0         0          ip          0      10                    0                     520
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       201.50.242.10    202.4.224.133    0         0         0          ip          0      161                   0                     11247
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       37.49.229.203    202.4.228.140    0         0         0          ip          0      237                   0                     22519
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.232.63     36.74.51.74      0         0         0          ip          0      434                   0                     638862
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       210.215.160.22   202.4.239.111    0         0         0          ip          0      417                   0                     326144
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       94.124.177.86    202.4.229.56     0         0         0          ip          0      1                     0                     41
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.224.133    201.50.242.10    0         0         0          ip          0      295                   0                     407490
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       91.207.7.110     202.4.228.137    0         0         0          ip          0      176                   0                     19156
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       203.41.236.222   202.4.224.77     0         0         0          ip          0      6688                  0                     5151337
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       111.118.221.56   110.173.154.6    0         0         0          ip          0      1320                  0                     192096
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.229.56     94.124.177.86    0         0         0          ip          0      1                     0                     40
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.143.19.130   202.4.236.106    0         0         0          ip          0      19                    0                     997
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       49.182.157.182   202.4.239.136    0         0         0          ip          0      10                    0                     520
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       120.151.34.163   202.4.239.153    0         0         0          ip          0      49                    0                     17416
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.239.111    210.215.160.22   0         0         0          ip          0      427                   0                     305553
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       101.172.42.160   202.4.238.66     0         0         0          ip          0      195                   0                     12864
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       73.32.187.85     110.173.157.17   0         0         0          ip          0      267                   0                     46928
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.239.88     203.49.131.10    0         0         0          ip          0      46                    0                     20701
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.236.53     108.162.219.36   0         0         0          ip          0      18                    0                     21902
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.142.240.197  202.4.224.13     0         0         0          ip          0      325                   0                     114424
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       54.82.159.153    110.173.154.20   0         0         0          ip          0      12                    0                     624
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       59.98.128.103    202.4.230.138    0         0         0          ip          0      1490                  0                     156520
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.175.237.78   202.4.230.41     0         0         0          ip          0      53                    0                     2120
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       203.188.221.164  110.173.157.213  0         0         0          ip          0      20                    0                     2594
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       220.245.163.238  110.173.158.129  0         0         0          ip          0      157                   0                     16183
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       173.245.48.66    202.4.230.150    0         0         0          ip          0      5                     0                     200
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.228.137    91.207.7.110     0         0         0          ip          0      269                   0                     333983
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       203.89.194.211   202.4.230.150    0         0         0          ip          0      10                    0                     1545
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       108.162.225.83   110.173.155.81   0         0         0          ip          0      80                    0                     7864
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.230.161    202.10.91.226    0         0         0          ip          0      483                   0                     453592
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       58.168.95.83     202.4.229.216    0         0         0          ip          0      254                   0                     33557
