TAG         TAG2        CLASS             IN_IFACE    OUT_IFACE   SRC_MAC            DST_MAC            VLAN   COS SRC_AS      DST_AS      BGP_COMMS                AS_PATH                  PREF   MED    PEER_SRC_AS PEER_DST_AS PEER_SRC_IP      PEER_DST_IP      SRC_IP                                         DST_IP                                         SRC_MASK  DST_MASK  SRC_PORT  DST_PORT  TCP_FLAGS  PROTOCOL    TOS    PACKETS               FLOWS                 BYTES
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             173.14.103.10                                  110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     2574250
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.97                                 77.44.252.5                                    0         0         0         0         0          ip          0      1750                  0                     253750
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.138                                54.231.244.9                                   0         0         0         0         0          ip          0      3500                  0                     5313000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             41.131.107.34                                  110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     997500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.145                                50.31.164.215                                  0         0         0         0         0          ip          0      1750                  0                     2656500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             184.72.37.51                                   110.173.142.7                                  0         0         0         0         0          ip          0      1750                  0                     1258250
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             142.22.54.114                                  110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     2513000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             68.100.198.51                                  110.173.143.147                                0         0         0         0         0          ip          0      3500                  0                     5313000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             146.115.86.89                                  110.173.143.147                                0         0         0         0         0          ip          0      1750                  0                     2656500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.36                                 204.246.163.76                                 0         0         0         0         0          ip          0      1750                  0                     689500
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             216.13.232.118                                 110.173.143.141                                0         0         0         0         0          ip          0      1750                  0                     112000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                204.156.77.12                                  0         0         0         0         0          ip          0      1250                  0                     80000
0           0           unknown           0           0           00:00:00:00:00:00  00:00:00:00:00:00  0      0   0           0                                    ^$                       0      0      0           0                                             110.173.143.147                                98.211.147.166                                 0         0         0         0         0          ip          0      1250                  0                     1887500
